timestamp, bead_x, bead_y, bead_z
2.968750,-0.001026,-0.024412,0.126726 
2.968750,-0.001178,-0.023726,0.133453 
2.984375,-0.000494,-0.019186,0.138821 
2.984375,-0.000541,-0.011721,0.141203 
2.984375,-0.000394,-0.005186,0.138873 
2.984375,0.000113,-0.000444,0.134054 
3.000000,-0.000335,0.001748,0.130054 
3.000000,-0.000135,0.002771,0.130788 
3.000000,-0.000047,0.006705,0.135760 
3.000000,0.000080,0.011768,0.140279 
3.015625,0.000615,0.018629,0.140107 
3.015625,0.000641,0.025144,0.135520 
3.015625,0.000642,0.028540,0.128707 
3.015625,0.000772,0.027504,0.121824 
3.031250,0.000621,0.022777,0.115032 
3.031250,0.000344,0.015841,0.108101 
3.031250,-0.000036,0.009314,0.100746 
3.046875,-0.000073,0.003971,0.094871 
3.046875,0.000117,0.001833,0.092278 
3.046875,-0.000382,0.000930,0.093289 
3.046875,-0.000318,-0.002853,0.097841 
3.062500,-0.000539,-0.007935,0.103927 
3.062500,-0.000915,-0.014866,0.111290 
3.062500,-0.000527,-0.021637,0.119293 
3.062500,-0.001006,-0.024384,0.126723 
3.078125,-0.001243,-0.023762,0.133443 
3.078125,-0.000460,-0.019183,0.138790 
3.078125,-0.000548,-0.011738,0.141191 
3.078125,-0.000511,-0.005515,0.139296 
3.093750,0.000161,-0.000455,0.134095 
3.093750,-0.000363,0.001724,0.130074 
3.093750,-0.000143,0.002742,0.130774 
3.109375,-0.000109,0.006409,0.136139 
3.109375,0.000036,0.011734,0.140273 
3.109375,0.000634,0.018597,0.140128 
3.109375,0.000654,0.025146,0.135543 
3.125000,0.000607,0.028512,0.128721 
3.125000,0.000797,0.027510,0.121832 
3.125000,0.000623,0.022827,0.115056 
3.125000,0.000291,0.015877,0.108169 
3.140625,0.000005,0.009364,0.100780 
3.140625,-0.000090,0.004010,0.094863 
3.140625,0.000087,0.001871,0.092247 
3.140625,-0.000359,0.000953,0.093286 
3.156250,-0.000333,-0.002836,0.097837 
3.156250,-0.000530,-0.007898,0.103907 
3.156250,-0.000755,-0.014567,0.110842 
3.171875,-0.000539,-0.021637,0.119253 
3.171875,-0.001026,-0.024320,0.126701 
3.171875,-0.001200,-0.023820,0.133421 
3.171875,-0.000499,-0.019284,0.138792 
3.187500,-0.000551,-0.011731,0.141182 
3.187500,-0.000482,-0.005555,0.139310 
3.187500,0.000114,-0.000487,0.134120 
3.187500,-0.000350,0.001777,0.130095 
3.203125,-0.000125,0.002716,0.130757 
3.203125,-0.000146,0.006404,0.136108 
3.203125,0.000076,0.011730,0.140251 
3.203125,0.000632,0.018549,0.140144 
3.218750,0.000629,0.025139,0.135575 
3.218750,0.000653,0.028496,0.128748 
3.218750,0.000775,0.027480,0.121865 
3.234375,0.000599,0.022857,0.115073 
