timestamp, bead_x, bead_y, bead_z
0.703125,-0.000387,0.007163,0.101880 
0.703125,0.000267,0.018669,0.101001 
0.703125,0.000911,0.030575,0.104015 
0.718750,0.000716,0.039211,0.110207 
0.718750,0.000967,0.040775,0.117893 
0.718750,0.001126,0.039782,0.125972 
0.718750,0.000693,0.036859,0.133263 
0.734375,0.000643,0.027064,0.138555 
0.734375,0.000339,0.014052,0.140500 
0.734375,-0.000394,0.001181,0.137777 
0.734375,-0.000699,-0.014179,0.130614 
0.750000,-0.001131,-0.027111,0.121142 
0.750000,-0.001599,-0.035082,0.111408 
0.750000,-0.001500,-0.039529,0.104396 
0.765625,-0.001605,-0.039923,0.102699 
0.765625,-0.001792,-0.040043,0.107647 
0.765625,-0.001510,-0.040282,0.118745 
0.765625,-0.001411,-0.038251,0.131007 
0.781250,-0.001749,-0.039709,0.139720 
0.781250,-0.001416,-0.040763,0.141333 
0.781250,-0.001230,-0.036478,0.136582 
0.781250,-0.001633,-0.031212,0.127751 
0.796875,-0.001079,-0.023531,0.117297 
0.796875,-0.000143,-0.008476,0.107657 
0.796875,-0.000516,0.006963,0.101896 
0.796875,0.000308,0.018513,0.100986 
0.812500,0.000930,0.030583,0.104007 
0.812500,0.000708,0.039221,0.110210 
0.812500,0.001055,0.040784,0.117886 
0.828125,0.001144,0.039809,0.125974 
0.828125,0.000693,0.036870,0.133262 
0.828125,0.000773,0.027109,0.138547 
0.828125,0.000411,0.014022,0.140494 
0.843750,-0.000425,0.001242,0.137779 
0.843750,-0.000789,-0.014384,0.131055 
0.843750,-0.001122,-0.027044,0.121186 
0.843750,-0.001551,-0.035002,0.111472 
0.859375,-0.001504,-0.039613,0.104418 
0.859375,-0.001621,-0.039937,0.102689 
0.859375,-0.001712,-0.039963,0.107606 
0.859375,-0.001476,-0.040286,0.118688 
0.875000,-0.001460,-0.038199,0.130930 
0.875000,-0.001685,-0.039593,0.139675 
0.875000,-0.001371,-0.040759,0.141331 
0.890625,-0.001250,-0.036494,0.136613 
0.890625,-0.001583,-0.031152,0.127805 
0.890625,-0.001047,-0.023504,0.117338 
0.890625,-0.000119,-0.008542,0.107684 
0.906250,-0.000462,0.006904,0.101925 
0.906250,0.000251,0.018550,0.100994 
0.906250,0.000923,0.030485,0.103989 
0.906250,0.000753,0.039189,0.110167 
0.921875,0.001106,0.040809,0.117859 
0.921875,0.001100,0.039783,0.125937 
0.921875,0.000693,0.036839,0.133241 
0.921875,0.000800,0.027149,0.138539 
0.937500,0.000279,0.014114,0.140505 
0.937500,-0.000423,0.001268,0.137796 
0.937500,-0.000703,-0.013972,0.130674 
0.953125,-0.001177,-0.026977,0.121232 
0.953125,-0.001469,-0.035029,0.111496 
0.953125,-0.001515,-0.039543,0.104445 
0.953125,-0.001662,-0.039884,0.102702 
0.968750,-0.001630,-0.040048,0.107602 
0.968750,-0.001493,-0.040320,0.118642 
0.968750,-0.001468,-0.038198,0.130882 
0.968750,-0.001647,-0.039623,0.139647 
0.984375,-0.001399,-0.040743,0.141327 
0.984375,-0.001241,-0.036469,0.136626 
0.984375,-0.001529,-0.031196,0.127836 
0.984375,-0.001063,-0.023545,0.117379 
1.000000,-0.000064,-0.008609,0.107699 
1.000000,-0.000500,0.006874,0.101926 
1.000000,0.000226,0.018499,0.100963 
1.015625,0.001015,0.030495,0.103936 
1.015625,0.000708,0.039183,0.110109 
1.015625,0.000984,0.040781,0.117795 
1.015625,0.001245,0.039749,0.125881 
1.031250,0.000707,0.036885,0.133217 
1.031250,0.000715,0.027147,0.138555 
1.031250,0.000416,0.014135,0.140553 
1.031250,-0.000431,0.001254,0.137829 
1.046875,-0.000760,-0.014257,0.131122 
1.046875,-0.000990,-0.026843,0.121268 
1.046875,-0.001498,-0.034830,0.111557 
1.046875,-0.001549,-0.039673,0.104483 
1.062500,-0.001553,-0.040071,0.102712 
1.062500,-0.001664,-0.039820,0.107534 
1.062500,-0.001543,-0.040290,0.118582 
1.078125,-0.001385,-0.038258,0.130831 
1.078125,-0.001624,-0.039445,0.139601 
1.078125,-0.001381,-0.040722,0.141337 
1.078125,-0.001199,-0.036620,0.136648 
1.093750,-0.001551,-0.031155,0.127849 
1.093750,-0.001081,-0.023490,0.117437 
1.093750,-0.000077,-0.008686,0.107745 
1.093750,-0.000419,0.006708,0.101975 
1.109375,0.000234,0.018493,0.100967 
1.109375,0.000968,0.030428,0.103922 
1.109375,0.000751,0.038972,0.110098 
1.109375,0.001067,0.040776,0.117787 
1.125000,0.001120,0.039793,0.125876 
1.125000,0.000694,0.036834,0.133202 
1.125000,0.000745,0.027187,0.138523 
1.140625,0.000273,0.014269,0.140511 
1.140625,-0.000391,0.001341,0.137818 
1.140625,-0.000739,-0.014187,0.131163 
1.140625,-0.001140,-0.026754,0.121342 
1.156250,-0.001474,-0.034965,0.111597 
1.156250,-0.001516,-0.039641,0.104517 
1.156250,-0.001636,-0.039808,0.102705 
1.156250,-0.001571,-0.039880,0.107527 
1.171875,-0.001506,-0.040395,0.118531 
1.171875,-0.001436,-0.038159,0.130767 
1.171875,-0.001568,-0.039484,0.139554 
1.171875,-0.001400,-0.040821,0.141321 
1.187500,-0.001253,-0.036536,0.136663 
1.187500,-0.001466,-0.031038,0.127865 
1.187500,-0.001033,-0.023692,0.117469 
1.203125,-0.000123,-0.008853,0.107758 
1.203125,-0.000321,0.006893,0.101956 
1.203125,0.000166,0.018370,0.100964 
1.203125,0.000975,0.030311,0.103917 
1.218750,0.000801,0.039129,0.110075 
1.218750,0.000915,0.040813,0.117722 
1.218750,0.001239,0.039687,0.125823 
1.218750,0.000723,0.036999,0.133135 
1.234375,0.000592,0.027215,0.138500 
1.234375,0.000459,0.014193,0.140546 
1.234375,-0.000397,0.001528,0.137843 
1.234375,-0.000856,-0.014162,0.131170 
1.250000,-0.000941,-0.026766,0.121344 
1.250000,-0.001326,-0.034780,0.111616 
1.250000,-0.001685,-0.039577,0.104560 
1.265625,-0.001591,-0.039925,0.102733 
1.265625,-0.001515,-0.039833,0.107499 
1.265625,-0.001612,-0.040286,0.118504 
1.265625,-0.001372,-0.038243,0.130725 
1.281250,-0.001469,-0.039460,0.139542 
1.281250,-0.001520,-0.040695,0.141324 
1.281250,-0.001265,-0.036550,0.136689 
1.281250,-0.001341,-0.031145,0.127906 
1.296875,-0.001141,-0.023644,0.117510 
1.296875,-0.000205,-0.008848,0.107801 
1.296875,-0.000230,0.006667,0.102044 
1.296875,0.000192,0.018257,0.101032 
1.312500,0.000951,0.030273,0.103905 
1.312500,0.000864,0.039061,0.110061 
1.312500,0.000984,0.040767,0.117721 
1.328125,0.001092,0.039768,0.125809 
1.328125,0.000766,0.036923,0.133131 
1.328125,0.000615,0.027253,0.138515 
1.328125,0.000314,0.014344,0.140548 
1.343750,-0.000322,0.001528,0.137864 
1.343750,-0.000817,-0.014067,0.131246 
1.343750,-0.001043,-0.026732,0.121420 
1.343750,-0.001420,-0.034769,0.111676 
1.359375,-0.001649,-0.039572,0.104582 
1.359375,-0.001607,-0.039919,0.102707 
1.359375,-0.001541,-0.039812,0.107437 
1.359375,-0.001551,-0.040286,0.118433 
1.375000,-0.001426,-0.038296,0.130678 
1.375000,-0.001481,-0.039456,0.139520 
1.375000,-0.001506,-0.040659,0.141328 
1.390625,-0.001310,-0.036590,0.136719 
1.390625,-0.001343,-0.031174,0.127941 
1.390625,-0.001148,-0.023662,0.117552 
1.390625,-0.000179,-0.008796,0.107828 
1.406250,-0.000341,0.006267,0.102470 
1.406250,0.000027,0.018147,0.100996 
1.406250,0.001056,0.030178,0.103888 
1.406250,0.000848,0.039058,0.110034 
1.421875,0.000851,0.040721,0.117678 
1.421875,0.001176,0.039855,0.125769 
1.421875,0.000768,0.036983,0.133096 
1.421875,0.000535,0.027218,0.138481 
1.437500,0.000351,0.014130,0.140917 
